,lstm_units,num_layers,mlp_unit_0,mlp_dropout,mlp_activation,optimizer,loss,mlp_unit_1,mlp_unit_2,val_loss,val_mae,val_mse,score
128,64,2,256,0.5,elu,sgd,mean_absolute_error,224.0,256.0,0.21830791234970093,0.21830791234970093,0.18250632286071777,0.21830791234970093
129,128,2,192,0.1,relu,sgd,mean_absolute_error,256.0,128.0,0.21883323788642883,0.21883323788642883,0.15498826652765274,0.21883323788642883
130,96,3,160,0.4,elu,sgd,mean_absolute_error,224.0,224.0,0.21930855512619019,0.21930855512619019,0.1805616319179535,0.21930855512619019
131,128,3,192,0.4,tanh,sgd,mean_absolute_error,256.0,224.0,0.21948057413101196,0.21948057413101196,0.17274578660726547,0.21948057413101196
132,64,1,128,0.1,elu,sgd,mean_absolute_error,32.0,256.0,0.2197435274720192,0.2197435274720192,0.16859367489814758,0.2197435274720192
133,192,1,160,0.1,relu,sgd,mean_absolute_error,32.0,128.0,0.220957413315773,0.220957413315773,0.16281868517398834,0.220957413315773
134,96,1,96,0.5,elu,sgd,mean_absolute_error,160.0,256.0,0.22300053387880325,0.22300053387880325,0.19264636933803558,0.22300053387880325
135,96,1,160,0.1,relu,sgd,mean_absolute_error,256.0,224.0,0.2230524644255638,0.2230524644255638,0.16628438234329224,0.2230524644255638
136,192,2,256,0.4,relu,sgd,mean_absolute_error,64.0,224.0,0.22347723692655563,0.22347723692655563,0.16621897369623184,0.22347723692655563
137,64,3,96,0.4,tanh,sgd,mean_absolute_error,128.0,192.0,0.22609345614910126,0.22609345614910126,0.1964065060019493,0.22609345614910126
138,192,3,224,0.5,relu,adam,mean_absolute_error,32.0,32.0,0.22619199007749557,0.22619199007749557,0.1293436996638775,0.22619199007749557
139,64,2,32,0.2,tanh,sgd,mean_absolute_error,32.0,64.0,0.23027163743972778,0.23027163743972778,0.22580549120903015,0.23027163743972778
140,64,2,224,0.1,tanh,sgd,mean_absolute_error,32.0,160.0,0.23066388815641403,0.23066388815641403,0.217231884598732,0.23066388815641403
141,32,3,32,0.2,relu,rmsprop,mean_absolute_error,192.0,160.0,0.236058309674263,0.236058309674263,0.16806525737047195,0.236058309674263
142,192,3,96,0.4,relu,rmsprop,mean_absolute_error,96.0,128.0,0.23829586803913116,0.23829586803913116,0.1619972661137581,0.23829586803913116
143,32,3,192,0.30000000000000004,tanh,sgd,mean_absolute_error,96.0,64.0,0.24061860144138336,0.24061860144138336,0.2518705949187279,0.24061860144138336
144,128,2,96,0.5,relu,sgd,mean_absolute_error,64.0,96.0,0.24173840880393982,0.24173840880393982,0.2177516371011734,0.24173840880393982
145,32,2,32,0.4,relu,adam,mean_absolute_error,128.0,256.0,0.24577531963586807,0.24577531963586807,0.21252454817295074,0.24577531963586807
146,32,3,192,0.30000000000000004,relu,adam,mean_absolute_error,32.0,64.0,0.24786289036273956,0.24786289036273956,0.17073055356740952,0.24786289036273956
147,32,1,160,0.5,relu,sgd,mean_absolute_error,256.0,64.0,0.25621144473552704,0.25621144473552704,0.28935009241104126,0.25621144473552704
148,64,3,224,0.5,relu,adam,mean_absolute_error,96.0,160.0,0.2629915773868561,0.2629915773868561,0.21433447301387787,0.2629915773868561
149,32,3,96,0.5,relu,sgd,mean_absolute_error,96.0,224.0,0.3355238288640976,0.3355238288640976,0.458383247256279,0.3355238288640976
