,number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_kernel,system_attrs_grid_id,system_attrs_search_space,state
35,35,,2024-07-20 14:00:06.689757,2024-07-20 14:02:07.125238,0 days 00:02:00.435481,0.7196856730011522,0.01,linear,35,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
36,36,15.354493956355276,2024-07-20 14:02:07.285817,2024-07-20 14:02:07.895097,0 days 00:00:00.609280,0.13894954943731375,10.0,linear,36,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
37,37,0.26412168903648187,2024-07-20 14:02:08.132662,2024-07-20 14:02:45.847038,0 days 00:00:37.714376,0.005179474679231213,0.001,linear,37,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
38,38,,2024-07-20 14:02:46.044864,2024-07-20 14:04:46.513015,0 days 00:02:00.468151,100.0,0.01,linear,38,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
39,39,0.2797170462620037,2024-07-20 14:04:46.793213,2024-07-20 14:04:54.108671,0 days 00:00:07.315458,0.13894954943731375,1.0,linear,39,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
40,40,,2024-07-20 14:04:54.238258,2024-07-20 14:06:54.759005,0 days 00:02:00.520747,3.7275937203149416,0.0001,linear,40,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
41,41,15.354493956355276,2024-07-20 14:06:55.015830,2024-07-20 14:06:56.081953,0 days 00:00:01.066123,0.001,10.0,linear,41,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
42,42,,2024-07-20 14:06:56.508070,2024-07-20 14:08:57.210791,0 days 00:02:00.702721,0.13894954943731375,0.0001,linear,42,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
43,43,0.26453346395596805,2024-07-20 14:08:57.484854,2024-07-20 14:10:04.891768,0 days 00:01:07.406914,0.005179474679231213,0.01,linear,43,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",COMPLETE
44,44,,2024-07-20 14:10:05.090779,2024-07-20 14:12:05.655385,0 days 00:02:00.564606,0.13894954943731375,0.1,linear,44,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
45,45,,2024-07-20 14:12:05.843825,2024-07-20 14:14:06.511841,0 days 00:02:00.668016,0.13894954943731375,0.01,linear,45,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
46,46,,2024-07-20 14:14:06.823738,2024-07-20 14:16:07.500182,0 days 00:02:00.676444,100.0,1.0,linear,46,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
47,47,,2024-07-20 14:16:07.655146,2024-07-20 14:18:08.213041,0 days 00:02:00.557895,3.7275937203149416,0.1,linear,47,"{'C': [0.001, 0.005179474679231213, 0.02682695795279726, 0.13894954943731375, 0.7196856730011522, 3.7275937203149416, 19.306977288832496, 100.0], 'epsilon': [0.0001, 0.001, 0.01, 0.1, 1.0, 10.0], 'kernel': ['linear']}",FAIL
