,number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,system_attrs_grid_id,system_attrs_search_space,state
35,35,0.5754338801462193,2024-07-20 14:59:11.646909,2024-07-20 15:00:00.571900,0 days 00:00:48.924991,0.015848931924611134,0.21544346900318845,scale,rbf,35,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
36,36,0.9319915491096986,2024-07-20 15:00:00.902828,2024-07-20 15:01:04.720855,0 days 00:01:03.818027,0.001,0.21544346900318845,scale,rbf,36,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
37,37,15.354493956355276,2024-07-20 15:01:05.036780,2024-07-20 15:01:05.894240,0 days 00:00:00.857460,3.981071705534969,10.0,auto,rbf,37,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
38,38,0.5791429512874732,2024-07-20 15:01:06.185832,2024-07-20 15:01:47.462969,0 days 00:00:41.277137,0.015848931924611134,0.21544346900318845,auto,rbf,38,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
39,39,0.4348283898123516,2024-07-20 15:01:47.707614,2024-07-20 15:03:33.215798,0 days 00:01:45.508184,1000.0,0.21544346900318845,scale,rbf,39,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
40,40,15.354493956355276,2024-07-20 15:03:33.748722,2024-07-20 15:03:34.637777,0 days 00:00:00.889055,1000.0,10.0,scale,rbf,40,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
41,41,,2024-07-20 15:03:34.949945,2024-07-20 15:05:35.727939,0 days 00:02:00.777994,1000.0,0.004641588833612782,scale,rbf,41,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",FAIL
42,42,0.39272596605991444,2024-07-20 15:05:35.942822,2024-07-20 15:06:52.964004,0 days 00:01:17.021182,63.0957344480193,0.21544346900318845,scale,rbf,42,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
43,43,,2024-07-20 15:06:53.350851,2024-07-20 15:08:54.324939,0 days 00:02:00.974088,63.0957344480193,0.0001,auto,rbf,43,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",FAIL
44,44,0.43321592290188266,2024-07-20 15:08:54.776123,2024-07-20 15:10:45.001818,0 days 00:01:50.225695,1000.0,0.21544346900318845,auto,rbf,44,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
45,45,0.43645926784548045,2024-07-20 15:10:45.570081,2024-07-20 15:12:32.605048,0 days 00:01:47.034967,0.25118864315095796,0.004641588833612782,scale,rbf,45,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
46,46,15.354493956355276,2024-07-20 15:12:33.135898,2024-07-20 15:12:34.904008,0 days 00:00:01.768110,3.981071705534969,10.0,scale,rbf,46,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
47,47,0.5882077638436722,2024-07-20 15:12:35.494821,2024-07-20 15:14:21.096724,0 days 00:01:45.601903,0.015848931924611134,0.004641588833612782,scale,rbf,47,"{'C': [0.001, 0.015848931924611134, 0.25118864315095796, 3.981071705534969, 63.0957344480193, 1000.0], 'epsilon': [0.0001, 0.004641588833612782, 0.21544346900318845, 10.0], 'gamma': ['scale', 'auto'], 'kernel': ['rbf']}",COMPLETE
